10/09/2017 10:34:36 - MonitoramentoSensores onCreate
10/09/2017 10:34:36 - re-register sensor listener
10/09/2017 10:38:34 - MonitoramentoSensores onCreate
10/09/2017 10:38:34 - re-register sensor listener
10/09/2017 10:40:11 - PSH Accelerometer accuracy changed: 3
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2745862; Y: 0.0784532; Z: 9.757616
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.22555295; Y: 0.06864655; Z: 9.796844
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.24516624; Y: 0.0588399; Z: 9.757616
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2549729; Y: 0.098066494; Z: 9.757616
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2941995; Y: 0.12748645; Z: 9.77723
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2549729; Y: 0.098066494; Z: 9.757616
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2745862; Y: 0.098066494; Z: 9.698776
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2549729; Y: 0.14709975; Z: 9.738003
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2157463; Y: 0.06864655; Z: 9.77723
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.2353596; Y: 0.0784532; Z: 9.757616
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.24516624; Y: 0.0784532; Z: 9.77723
10/09/2017 10:40:38 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.24516624; Y: 0.098066494; Z: 9.698776
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:38 BRT 2017 -  X: 0.24516624; Y: 0.0784532; Z: 9.757616
10/09/2017 10:40:39 - Log acelerômetro: Sun Sep 10 10:40:39 BRT 2017 -  X: 0.2353596; Y: 0.0588399; Z: 9.796844
